,Name,Address,twd97E,twd97N,wgs84X,wgs84Y,類別,大類別,type
600,水蓮山莊,台北市汐止區,313547.3507,2774526.001,121.629944,25.077647,公車站,交通便利設施,blue
601,北峰寺,台北市北投區,313579.6915,2773994.125,121.63024,25.072844,公車站,交通便利設施,blue
602,湖東街口,台北市北投區,313904.6625,2773840.123,121.633454,25.07144,公車站,交通便利設施,blue
603,金龍湖,金龍湖,314080.2547,2773845.045,121.6351947,25.071477,公車站,交通便利設施,blue
604,濱湖大第,新北市汐止區康寧街625號,314316.4287,2773940.089,121.6375401,25.072325,公車站,交通便利設施,blue
605,日月光社區,台北市北投區,314304.5619,2774304.355,121.6374395,25.075614,公車站,交通便利設施,blue
606,日月光社區D區,台北市北投區,314247.2454,2774174.595,121.6368653,25.074445,公車站,交通便利設施,blue
607,伯爵山莊一,康寧街753巷同向(向東),314490.6567,2774109.504,121.639275,25.073847,公車站,交通便利設施,blue
608,伯爵山莊,伯爵街2巷側2m同向(向西),314733.3818,2774259.639,121.641688,25.075192,公車站,交通便利設施,blue
609,樟江大橋,樟江大橋(向東),315037.0255,2774320.897,121.6447007,25.07573198,公車站,交通便利設施,blue
610,半島花園,樟樹二路352號同向(向西),314945.1625,2774127.611,121.643781,25.073991,公車站,交通便利設施,blue
611,中興路,新北市汐止區中興路82號(向西),314077.784,2772766.469,121.63512,25.06174,公車站,交通便利設施,blue
612,江山萬里,新台五路二段218號同向(向西),317390.9979,2773422.682,121.66799,25.06752,公車站,交通便利設施,blue
613,福安宮,新北市汐止區厚德里福安宮,314705.2179,2773710.309,121.641383,25.070234,公車站,交通便利設施,blue
614,樟樹國小,台北市北投區,314812.0262,2773292.549,121.642422,25.066458,公車站,交通便利設施,blue
615,忠孝里活動中心,忠孝里活動中心,314541.8762,2772949.5,121.6397283,25.06337261,公車站,交通便利設施,blue
616,昊天嶺,大同路一段511號同向(向東),315114.7425,2772819.009,121.6454,25.06217,公車站,交通便利設施,blue
617,汐科站南站,大同路二段11號同向(向東),315297.9185,2772890.7,121.6472189,25.0628093,公車站,交通便利設施,blue
618,汐科站北站,大同路二段200號同向(向東),315800.7577,2773043.84,121.65221,25.06417,公車站,交通便利設施,blue
619,汐止國小,大同路二段329-343號對向(向東),316073.2598,2773275.669,121.654922,25.066251,公車站,交通便利設施,blue
